,brent,er
2005-01-11,40.46,27.9549
2005-01-12,43.12,27.88
2005-01-13,43.68,27.8677
2005-01-14,45.21,27.9469
2005-01-17,45.15,27.9668
2005-01-18,45.03,28.1129
2005-01-19,45.39,28.1573
2005-01-20,44.71,28.1594
2005-01-21,44.32,28.1569
2005-01-24,45.73,28.0157
2005-01-25,46.01,27.9804
2005-01-26,46.96,28.1017
2005-01-27,46.51,28.0025
2005-01-28,46.44,28.0845
2005-01-31,44.95,28.1136
2005-02-01,45.92,27.9656
2005-02-02,44.82,27.9665
2005-02-03,44.01,28.0104
2005-02-04,43.85,27.9833
2005-02-07,43.89,28.1237
2005-02-08,43.04,28.1872
2005-02-09,43.07,28.133
2005-02-10,43.13,28.0853
2005-02-11,44.48,28.0688
2005-02-14,44.8,28.0306
2005-02-15,45.53,28.0207
2005-02-16,45.39,28.0016
2005-02-17,46.15,27.9998
2005-02-18,45.82,27.9359
2005-02-21,46.34,27.9365
2005-02-22,46.73,27.8312
2005-02-24,48.62,27.745
2005-02-25,49.44,27.7738
2005-02-28,49.61,27.7007
2005-03-01,50.06,27.7091
2005-03-02,50.11,27.699
2005-03-03,51.22,27.7245
2005-03-04,51.95,27.7518
2005-03-09,51.8,27.5562
2005-03-10,53.38,27.4637
2005-03-11,52.66,27.4629
2005-03-14,53.1,27.477
2005-03-15,53.66,27.4902
2005-03-16,53.85,27.489
2005-03-17,54.8,27.4611
2005-03-18,55.06,27.4827
2005-03-21,55.59,27.5442
2005-03-22,55.65,27.5764
2005-03-23,54.59,27.6381
2005-03-24,53.04,27.697
2005-03-29,53.93,27.8313
2005-03-30,53.03,27.8256
2005-03-31,52.09,27.8548
2005-04-01,54.29,27.8831
2005-04-04,56.51,27.8926
2005-04-05,56.23,27.9394
2005-04-06,55.44,27.8739
2005-04-07,55.27,27.8085
2005-04-08,54.04,27.8789
2005-04-11,52.89,27.7933
2005-04-12,53.21,27.765
2005-04-13,51.98,27.7907
2005-04-14,50.48,27.8291
2005-04-15,50.91,27.9031
2005-04-18,51.61,27.8222
2005-04-19,50.78,27.7543
2005-04-20,52.94,27.7241
2005-04-21,53.78,27.7074
2005-04-22,54.01,27.7304
2005-04-25,54.97,27.7463
2005-04-26,54.4,27.7586
2005-04-27,54.14,27.8055
2005-04-28,52.29,27.794
2005-04-29,52.48,27.7726
2005-05-03,51.09,27.8364
2005-05-04,50.52,27.7896
2005-05-05,50.97,27.7845
2005-05-06,51.13,27.7852
2005-05-11,50.77,27.816
2005-05-12,50.07,27.8677
2005-05-13,48.34,27.9237
2005-05-16,48.66,28.0223
2005-05-17,48.05,27.9929
2005-05-18,49.34,28.0055
2005-05-19,48.15,27.9608
2005-05-20,47.88,27.9719
2005-05-23,48.03,28.0619
2005-05-24,48.37,28.0327
2005-05-25,48.82,28.0367
2005-05-26,50.07,28.0638
2005-05-27,50.16,28.0813
2005-05-31,50.7,28.1946
2005-06-01,50.73,28.2885
2005-06-02,53.27,28.375
2005-06-03,52.4,28.3761
2005-06-06,54.17,28.429
2005-06-07,53.67,28.4133
2005-06-08,53.13,28.3766
2005-06-09,52.11,28.4457
2005-06-10,53.82,28.4671
2005-06-14,52.67,28.5658
2005-06-15,53.73,28.6237
2005-06-16,54.5,28.6024
2005-06-17,56.22,28.5841
2005-06-20,57.76,28.4765
2005-06-21,58.32,28.5497
2005-06-22,57.5,28.5528
2005-06-23,56.58,28.6193
2005-06-24,57.96,28.6787
2005-06-27,58.36,28.5802
2005-06-28,59.3,28.584
2005-06-29,57.18,28.6721
2005-06-30,56.15,28.6282
2005-07-01,55.58,28.6794
2005-07-04,57.54,28.8005
2005-07-05,57.94,28.8333
2005-07-06,58.29,28.8185
2005-07-07,59.85,28.831
2005-07-08,59.28,28.8374
2005-07-11,58.2,28.7154
2005-07-12,57.44,28.5938
2005-07-13,58.82,28.5678
2005-07-14,58.27,28.6679
2005-07-15,57.31,28.6269
2005-07-18,57.61,28.6726
2005-07-19,56.99,28.7252
2005-07-20,57.36,28.6744
2005-07-21,56.65,28.6012
2005-07-22,55.72,28.5792
2005-07-25,57.58,28.6898
2005-07-26,57.86,28.6888
2005-07-27,58.03,28.7304
2005-07-28,58.01,28.6817
2005-07-29,58.76,28.6341
2005-08-01,59.37,28.595
2005-08-02,60.44,28.5826
2005-08-03,60.62,28.604
2005-08-04,59.65,28.4854
2005-08-05,60.12,28.4171
2005-08-08,61.07,28.4355
2005-08-09,62.7,28.3791
2005-08-10,61.98,28.3931
2005-08-11,63.99,28.3788
2005-08-12,65.38,28.3122
2005-08-15,66.45,28.3815
2005-08-16,65.58,28.4161
2005-08-17,65.41,28.473
2005-08-18,62.56,28.4936
2005-08-19,62.4,28.6003
2005-08-22,64.36,28.5852
2005-08-23,64.5,28.5494
2005-08-24,64.65,28.5844
2005-08-25,66.01,28.4572
2005-08-26,66.27,28.4505
2005-08-30,64.87,28.545
2005-08-31,67.57,28.5566
2005-09-01,67.02,28.4637
2005-09-02,67.72,28.3037
2005-09-05,66.06,28.1977
2005-09-06,64.85,28.2108
2005-09-07,64.67,28.2015
2005-09-08,62.89,28.2562
2005-09-09,63.08,28.2517
2005-09-12,62.84,28.3566
2005-09-13,61.8,28.3856
2005-09-14,61.61,28.316
2005-09-15,63.37,28.3698
2005-09-16,63.16,28.3026
2005-09-19,61.81,28.4582
2005-09-20,65.61,28.4065
2005-09-21,64.2,28.3812
2005-09-22,64.73,28.3603
2005-09-23,64.6,28.432
2005-09-26,62.44,28.5463
2005-09-27,63.93,28.5678
2005-09-28,62.97,28.5366
2005-09-29,63.93,28.4989
2005-09-30,63.84,28.5348
2005-10-03,63.48,28.6132
2005-10-04,62.8,28.643
2005-10-05,61.22,28.6157
2005-10-06,60.12,28.5207
2005-10-07,58.37,28.4577
2005-10-10,59.21,28.4708
2005-10-11,58.78,28.5562
2005-10-12,60.08,28.625
2005-10-13,60.57,28.599
2005-10-14,60.14,28.5861
2005-10-17,59.35,28.5291
2005-10-18,60.57,28.614
2005-10-19,59.28,28.6715
2005-10-20,58.6,28.6219
2005-10-21,57.91,28.5666
2005-10-24,58.48,28.6248
2005-10-25,58.24,28.6087
2005-10-26,60.24,28.4633
2005-10-27,58.87,28.4793
2005-10-28,59.14,28.4244
2005-10-31,59.42,28.503
2005-11-01,58.1,28.581
2005-11-02,58.37,28.5805
2005-11-03,58.38,28.5544
2005-11-07,60.52,28.7593
2005-11-08,58.04,28.8389
2005-11-09,57.81,28.828
2005-11-10,56.88,28.8135
2005-11-11,55.68,28.879
2005-11-14,54.99,28.825
2005-11-15,54.73,28.8503
2005-11-16,54.05,28.838
2005-11-17,56.0,28.876
2005-11-18,54.85,28.8436
2005-11-21,54.88,28.7745
2005-11-22,55.34,28.8108
2005-11-23,56.41,28.7267
2005-11-24,56.21,28.741
2005-11-25,55.3,28.7896
2005-11-28,55.01,28.8698
2005-11-29,54.88,28.7312
2005-11-30,54.32,28.7792
2005-12-01,55.05,28.816
2005-12-02,56.15,28.9646
2005-12-05,57.05,28.9978
2005-12-06,57.73,28.9123
2005-12-07,57.61,28.9261
2005-12-08,56.98,28.9799
2005-12-09,58.67,28.9258
2005-12-12,57.31,28.8571
2005-12-13,59.44,28.7135
2005-12-14,59.52,28.661
2005-12-15,59.6,28.6892
2005-12-16,59.85,28.6523
2005-12-19,57.13,28.64
2005-12-20,56.11,28.6649
2005-12-21,56.17,28.7629
2005-12-22,56.72,28.84
2005-12-23,56.55,28.7799
