<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ICE.BRN,D,20150515,000000,66.8600000
ICE.BRN,D,20150517,000000,66.9100000
ICE.BRN,D,20150518,000000,66.3000000
ICE.BRN,D,20150519,000000,64.4500000
ICE.BRN,D,20150520,000000,64.9600000
ICE.BRN,D,20150521,000000,66.4800000
ICE.BRN,D,20150522,000000,65.5700000
ICE.BRN,D,20150524,000000,65.4900000
ICE.BRN,D,20150525,000000,65.9000000
ICE.BRN,D,20150526,000000,63.8900000
ICE.BRN,D,20150527,000000,62.2500000
ICE.BRN,D,20150528,000000,62.8500000
ICE.BRN,D,20150529,000000,65.4500000
ICE.BRN,D,20150531,000000,65.1900000
ICE.BRN,D,20150601,000000,64.9800000
ICE.BRN,D,20150602,000000,66.1000000
ICE.BRN,D,20150603,000000,64.4600000
ICE.BRN,D,20150604,000000,62.8100000
ICE.BRN,D,20150605,000000,63.9200000
ICE.BRN,D,20150607,000000,63.6900000
ICE.BRN,D,20150608,000000,63.1900000
ICE.BRN,D,20150609,000000,65.7200000
ICE.BRN,D,20150610,000000,66.0900000
ICE.BRN,D,20150611,000000,65.4700000
ICE.BRN,D,20150612,000000,64.5200000
ICE.BRN,D,20150614,000000,64.1500000
ICE.BRN,D,20150615,000000,63.9400000
ICE.BRN,D,20150616,000000,63.6700000
ICE.BRN,D,20150617,000000,63.7000000
ICE.BRN,D,20150618,000000,64.3400000
ICE.BRN,D,20150619,000000,62.7500000
ICE.BRN,D,20150621,000000,62.7100000
ICE.BRN,D,20150622,000000,63.2500000
ICE.BRN,D,20150623,000000,64.5300000
ICE.BRN,D,20150624,000000,63.5800000
ICE.BRN,D,20150625,000000,63.4300000
ICE.BRN,D,20150626,000000,63.0500000
ICE.BRN,D,20150628,000000,62.5600000
ICE.BRN,D,20150629,000000,61.9900000
ICE.BRN,D,20150630,000000,63.1400000
ICE.BRN,D,20150701,000000,62.0200000
ICE.BRN,D,20150702,000000,62.2900000
ICE.BRN,D,20150703,000000,61.0900000
ICE.BRN,D,20150705,000000,60.2900000
ICE.BRN,D,20150706,000000,57.1400000
ICE.BRN,D,20150707,000000,58.0000000
ICE.BRN,D,20150708,000000,57.6300000
ICE.BRN,D,20150709,000000,58.7300000
ICE.BRN,D,20150710,000000,58.8900000
ICE.BRN,D,20150712,000000,58.1900000
ICE.BRN,D,20150713,000000,58.1400000
ICE.BRN,D,20150714,000000,58.9400000
ICE.BRN,D,20150715,000000,57.3700000
ICE.BRN,D,20150716,000000,56.9500000
ICE.BRN,D,20150717,000000,57.0100000
ICE.BRN,D,20150719,000000,57.1600000
ICE.BRN,D,20150720,000000,56.5400000
ICE.BRN,D,20150721,000000,56.9800000
ICE.BRN,D,20150722,000000,56.0900000
ICE.BRN,D,20150723,000000,55.4100000
ICE.BRN,D,20150724,000000,54.5600000
ICE.BRN,D,20150726,000000,54.6200000
ICE.BRN,D,20150727,000000,52.9600000
ICE.BRN,D,20150728,000000,52.9800000
ICE.BRN,D,20150729,000000,53.5500000
ICE.BRN,D,20150730,000000,53.3800000
ICE.BRN,D,20150731,000000,51.8500000
ICE.BRN,D,20150802,000000,51.7000000
ICE.BRN,D,20150803,000000,49.5900000
ICE.BRN,D,20150804,000000,50.2800000
ICE.BRN,D,20150805,000000,49.7200000
ICE.BRN,D,20150806,000000,49.5900000
ICE.BRN,D,20150807,000000,48.4900000
ICE.BRN,D,20150809,000000,48.4200000
ICE.BRN,D,20150810,000000,50.3000000
ICE.BRN,D,20150811,000000,49.8700000
ICE.BRN,D,20150812,000000,50.2100000
ICE.BRN,D,20150813,000000,49.6500000
